Change,Edition,Before reference,Before text,After reference,After text,Reason,Source
replacement,King James Version (KJV),Lamentations 3:23,They are new every morning: great is thy faithfulness.,Lamentations 3:22-23,"It is of the LORD’s mercies that we are not consumed, because his compassions fail not. They are new every morning: great is thy faithfulness.",Include the preceding verse so that 'They are new' has its stated subject: God's mercies. Keep both verses complete.,https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),Lamentations 3:23,They are new every morning. Great is your faithfulness.,Lamentations 3:22-23,"It is because of the LORD’s loving kindnesses that we are not consumed, because his mercies don’t fail. They are new every morning. Great is your faithfulness.",Include the preceding verse so that 'They are new' has its stated subject: God's mercies. Keep both verses complete.,https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),Lamentations 3:23,"sondern sie ist alle Morgen neu, und deine Treue ist groß.",Lamentations 3:22-23,"Die Güte des HERRN ist's, daß wir nicht gar aus sind; seine Barmherzigkeit hat noch kein Ende, sondern sie ist alle Morgen neu, und deine Treue ist groß.",Include the preceding verse so that 'They are new' has its stated subject: God's mercies. Keep both verses complete.,https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),Lamentations 3:23,Elles se renouvellent chaque matin. Oh! Que ta fidélité est grande!,Lamentations 3:22-23,"Les bontés de l’Éternel ne sont pas épuisées, Ses compassions ne sont pas à leur terme; Elles se renouvellent chaque matin. Oh! Que ta fidélité est grande!",Include the preceding verse so that 'They are new' has its stated subject: God's mercies. Keep both verses complete.,https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),Lamentations 3:23,si rinnovano ogni mattina. Grande è la tua fedeltà!,Lamentations 3:22-23,E’ una grazia dell’Eterno che non siamo stati interamente distrutti; poiché le sue compassioni non sono esaurite; si rinnovano ogni mattina. Grande è la tua fedeltà!,Include the preceding verse so that 'They are new' has its stated subject: God's mercies. Keep both verses complete.,https://ebible.org/Scriptures/ita1927_usfx.zip
replacement,Reina-Valera (1909),Lamentations 3:23,Nuevas son cada mañana; grande es tu fidelidad.,Lamentations 3:22-23,"Es por la misericordia de Jehová que no somos consumidos, porque nunca decayeron sus misericordias. Nuevas son cada mañana; grande es tu fidelidad.",Include the preceding verse so that 'They are new' has its stated subject: God's mercies. Keep both verses complete.,https://ebible.org/Scriptures/spaRV1909_usfx.zip
replacement,Sathyavedapusthakam (1910),Lamentations 3:23,അതു രാവിലെതോറും പുതിയതും നിന്റെ വിശ്വസ്ഥത വലിയതും ആകുന്നു.,Lamentations 3:22-23,നാം മുടിഞ്ഞുപോകാതിരിക്കുന്നതു യഹോവയുടെ ദയ ആകുന്നു; അവന്റെ കരുണ തീൎന്നു പോയിട്ടില്ലല്ലോ; അതു രാവിലെതോറും പുതിയതും നിന്റെ വിശ്വസ്ഥത വലിയതും ആകുന്നു.,Include the preceding verse so that 'They are new' has its stated subject: God's mercies. Keep both verses complete.,https://api.getbible.net/v2/mal1910.json
replacement,Ang Dating Biblia (1905),Lamentations 3:23,"Ang mga yao'y bago tuwing umaga, dakila ang inyong pagtatapat.",Lamentations 3:22-23,"Sa mga kaawaan nga ng Panginoon ay hindi tayo nalipol, sapagka't ang kaniyang mga habag ay hindi nauubos. Ang mga yao'y bago tuwing umaga, dakila ang inyong pagtatapat.",Include the preceding verse so that 'They are new' has its stated subject: God's mercies. Keep both verses complete.,https://api.getbible.net/v2/tagalog.json
replacement,Berean Standard Bible (BSB),Galatians 6:18,"The grace of our Lord Jesus Christ be with your spirit, brothers. Amen.",Galatians 6:9,"Let us not grow weary in well-doing, for in due time we will reap a harvest if we do not give up.",Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Bible in Basic English (BBE),Galatians 6:18,"The grace of our Lord Jesus Christ be with your spirit, brothers. So be it.",Galatians 6:9,"And let us not get tired of well-doing; for at the right time we will get in the grain, if we do not give way to weariness.",Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,King James Version (KJV),Galatians 6:18,"Brethren, the grace of our Lord Jesus Christ be with your spirit. Amen.",Galatians 6:9,"And let us not be weary in well doing: for in due season we shall reap, if we faint not.",Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),Galatians 6:18,"The grace of our Lord Jesus Christ be with your spirit, brothers. Amen.",Galatians 6:9,"Let’s not be weary in doing good, for we will reap in due season if we don’t give up.",Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),Galatians 6:18,"Die Gnade unsers HERRN Jesu Christi sei mit eurem Geist, liebe Brüder! Amen.",Galatians 6:9,Lasset uns aber Gutes tun und nicht müde werden; denn zu seiner Zeit werden wir auch ernten ohne Aufhören.,Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),Galatians 6:18,"Frères, que la grâce de notre Seigneur Jésus-Christ soit avec votre esprit! Amen!",Galatians 6:9,"Ne nous lassons pas de faire le bien; car nous moissonnerons au temps convenable, si nous ne nous relâchons pas.",Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),Galatians 6:18,"La grazia del Signor nostro Gesù Cristo sia col vostro spirito, fratelli. Amen.",Galatians 6:9,"E non ci scoraggiamo nel far il bene; perché, se non ci stanchiamo, mieteremo a suo tempo.",Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://ebible.org/Scriptures/ita1927_usfx.zip
replacement,Reina-Valera (1909),Galatians 6:18,"Hermanos, la gracia de nuestro Señor Jesucristo sea con vuestro espíritu. Amén. Enviada de Roma á los Gálatas.",Galatians 6:9,"No nos cansemos, pues, de hacer bien; que á su tiempo segaremos, si no hubiéremos desmayado.",Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://ebible.org/Scriptures/spaRV1909_usfx.zip
replacement,Sathyavedapusthakam (1910),Galatians 6:18,"സഹോദരന്മാരേ, നമ്മുടെ കൎത്താവായ യേശുക്രിസ്തുവിന്റെ കൃപ നിങ്ങളുടെ ആത്മാവിനോടുകൂടെ ഇരിക്കുമാറാകട്ടെ. ആമേൻ.",Galatians 6:9,നന്മ ചെയ്കയിൽ നാം മടുത്തുപോകരുതു; തളൎന്നുപോകാഞ്ഞാൽ തക്കസമയത്തു നാം കൊയ്യും.,Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://api.getbible.net/v2/mal1910.json
replacement,Ang Dating Biblia (1905),Galatians 6:18,"Mga kapatid, ang biyaya ng ating Panginoong Jesucristo ay sumainyo nawang espiritu. Siya nawa.",Galatians 6:9,"At huwag tayong mangapagod sa paggawa ng mabuti: sapagka't sa kapanahunan ay magsisipagani tayo, kung hindi tayo manganghihimagod.",Replace one of several repeated grace salutations with encouragement to persevere in doing good.,https://api.getbible.net/v2/tagalog.json
source-correction,Louis Segond (1910),Matthew 19:26,"Jésus les regarda, et leur dit: Aux hommes cela est impossible, mais à Dieu tout est possible.",Matthew 19:26,"Jésus les regarda, et leur dit: Aux hommes cela est impossible,mais à Dieu tout est possible.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/fraLSG_usfx.zip
source-correction,Reina-Valera (1909),Matthew 19:26,"Y mirándo los Jesús, les dijo: Para con los hombres imposible es esto; mas para con Dios todo es posible.",Matthew 19:26,"Y mirándolos Jesús, les dijo: Para con los hombres imposible es esto; mas para con Dios todo es posible.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/spaRV1909_usfx.zip
source-correction,Louis Segond (1910),Mark 10:27,"Jésus les regarda, et dit: Cela est impossible aux hommes, mais non à Dieu: car tout est possible à Dieu.",Mark 10:27,"Jésus les regarda, et dit: Cela est impossible aux hommes, mais non à Dieu:car tout est possible à Dieu.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/fraLSG_usfx.zip
source-correction,Berean Standard Bible (BSB),Luke 1:37,For no word from God will ever fail. ”,Luke 1:37,For no word from God will ever fail.”,"Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engbsb_usfx.zip
source-correction,Louis Segond (1910),John 6:35,"Jésus leur dit: Je suis le pain de vie. Celui qui vient à moi n’aura jamais faim, et celui qui croit en moi n’aura jamais soif.",John 6:35,"Jésus leur dit: Je suis le pain de vie.Celui qui vient à moi n’aura jamais faim, et celui qui croit en moi n’aura jamais soif.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Berean Standard Bible (BSB),1 Corinthians 10:13,"No temptation has seized you except what is common to man. And God is faithful; He will not let you be tempted beyond what you can bear. But when you are tempted, He will also provide an escape, so that you can stand up under it.",1 Corinthians 1:9,"God, who has called you into fellowship with His Son Jesus Christ our Lord, is faithful.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Bible in Basic English (BBE),1 Corinthians 10:13,"You have been put to no test but such as is common to man: and God is true, who will not let any test come on you which you are not able to undergo; but he will make with the test a way out of it, so that you may be able to go through it.",1 Corinthians 1:9,"God is true, through whom you have been given a part with his Son, Jesus Christ our Lord.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,King James Version (KJV),1 Corinthians 10:13,"There hath no temptation taken you but such as is common to man: but God is faithful, who will not suffer you to be tempted above that ye are able; but will with the temptation also make a way to escape, that ye may be able to bear it.",1 Corinthians 1:9,"God is faithful, by whom ye were called unto the fellowship of his Son Jesus Christ our Lord.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),1 Corinthians 10:13,"No temptation has taken you except what is common to man. God is faithful, who will not allow you to be tempted above what you are able, but will with the temptation also make the way of escape, that you may be able to endure it.",1 Corinthians 1:9,"God is faithful, through whom you were called into the fellowship of his Son, Jesus Christ our Lord.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),1 Corinthians 10:13,"Es hat euch noch keine denn menschliche Versuchung betreten; aber Gott ist getreu, der euch nicht läßt versuchen über euer Vermögen, sondern macht, daß die Versuchung so ein Ende gewinne, daß ihr's könnet ertragen.",1 Corinthians 1:9,"Denn Gott ist treu, durch welchen ihr berufen seid zur Gemeinschaft seines Sohnes Jesu Christi, unsers HERRN.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),1 Corinthians 10:13,"Aucune tentation ne vous est survenue qui n’ait été humaine, et Dieu, qui est fidèle, ne permettra pas que vous soyez tentés au-delà de vos forces; mais avec la tentation il préparera aussi le moyen d’en sortir, afin que vous puissiez la supporter.",1 Corinthians 1:9,"Dieu est fidèle, lui qui vous a appelés à la communion de son Fils, Jésus-Christ notre Seigneur.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),1 Corinthians 10:13,"Niuna tentazione vi ha còlti, che non sia stata umana; or Iddio è fedele e non permetterà che siate tentati al di là delle vostre forze; ma con la tentazione vi darà anche la via d’uscirne, onde la possiate sopportare.",1 Corinthians 1:9,"Fedele è l’Iddio dal quale siete stati chiamati alla comunione del suo Figliuolo Gesù Cristo, nostro Signore.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://ebible.org/Scriptures/ita1927_usfx.zip
replacement,Reina-Valera (1909),1 Corinthians 10:13,"No os ha tomado tentación, sino humana: mas fiel es Dios, que no os dejará ser tentados más de lo que podéis llevar; antes dará también juntamente con la tentación la salida, para que podáis aguantar.",1 Corinthians 1:9,"Fiel es Dios, por el cual sois llamados á la participación de su Hijo Jesucristo nuestro Señor.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://ebible.org/Scriptures/spaRV1909_usfx.zip
replacement,Sathyavedapusthakam (1910),1 Corinthians 10:13,മനുഷ്യൎക്കു നടപ്പല്ലാത്ത പരീക്ഷ നിങ്ങൾക്കു നേരിട്ടിട്ടില്ല; ദൈവം വിശ്വസ്തൻ; നിങ്ങൾക്കു കഴിയുന്നതിന്നു മീതെ പരീക്ഷ നേരിടുവാൻ സമ്മതിക്കാതെ നിങ്ങൾക്കു സഹിപ്പാൻ കഴിയേണ്ടതിന്നു പരീക്ഷയോടുകൂടെ അവൻ പോക്കുവഴിയും ഉണ്ടാക്കും.,1 Corinthians 1:9,തന്റെ പുത്രനും നമ്മുടെ കൎത്താവായ യേശുക്രിസ്തുവിന്റെ കൂട്ടായ്മയിലേക്കു നിങ്ങളെ വിളിച്ചിരിക്കുന്ന ദൈവം വിശ്വസ്തൻ.,Replace a very long verse with a complete affirmation of God's faithfulness.,https://api.getbible.net/v2/mal1910.json
replacement,Ang Dating Biblia (1905),1 Corinthians 10:13,"Hindi dumating sa inyo ang anomang tukso kundi yaong matitiis ng tao: datapuwa't tapat ang Dios, na hindi niya itutulot na kayo'y tuksuhin ng higit sa inyong makakaya; kundi kalakip din ng tukso ay gagawin naman ang paraan ng pagilag, upang ito'y inyong matiis.",1 Corinthians 1:9,"Ang Dios ay tapat, na sa pamamagitan niya ay tinawag kayo sa pakikisama ng kaniyang anak na si Jesucristo na Panginoon natin.",Replace a very long verse with a complete affirmation of God's faithfulness.,https://api.getbible.net/v2/tagalog.json
replacement,Berean Standard Bible (BSB),Colossians 4:12,"Epaphras, who is one of you and a servant of Christ Jesus, sends you greetings. He is always wrestling in prayer for you, so that you may stand mature and fully assured in the full will of God.",Colossians 3:12,"Therefore, as the elect of God, holy and beloved, clothe yourselves with hearts of compassion, kindness, humility, gentleness, and patience.","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Bible in Basic English (BBE),Colossians 4:12,"Epaphras, who is one of you, a servant of Christ Jesus, sends you his love, ever taking thought for you in his prayers, that you may be complete and fully certain of all the purpose of God.",Colossians 3:12,"As saints of God, then, holy and dearly loved, let your behaviour be marked by pity and mercy, kind feeling, a low opinion of yourselves, gentle ways, and a power of undergoing all things;","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,King James Version (KJV),Colossians 4:12,"Epaphras, who is one of you, a servant of Christ, saluteth you, always labouring fervently for you in prayers, that ye may stand perfect and complete in all the will of God.",Colossians 3:12,"Put on therefore, as the elect of God, holy and beloved, bowels of mercies, kindness, humbleness of mind, meekness, longsuffering;","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),Colossians 4:12,"Epaphras, who is one of you, a servant of Christ, salutes you, always striving for you in his prayers, that you may stand perfect and complete in all the will of God.",Colossians 3:12,"Put on therefore, as God’s chosen ones, holy and beloved, a heart of compassion, kindness, lowliness, humility, and perseverance;","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),Colossians 4:12,"Es grüßt euch Epaphras, der von den euren ist, ein Knecht Christi, und allezeit ringt für euch mit Gebeten, auf daß ihr bestehet vollkommen und erfüllt mit allem Willen Gottes.",Colossians 3:12,"So ziehet nun an, als die Auserwählten Gottes, Heiligen und Geliebten, herzliches Erbarmen, Freundlichkeit, Demut, Sanftmut, Geduld;","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),Colossians 4:12,"Épaphras, qui est des vôtres, vous salue: serviteur de Jésus-Christ, il ne cesse de combattre pour vous dans ses prières, afin que, parfaits et pleinement persuadés, vous persistiez dans une entière soumission à la volonté de Dieu.",Colossians 3:12,"Ainsi donc, comme des élus de Dieu, saints et bien-aimés, revêtez-vous d’entrailles de miséricorde, de bonté, d’humilité, de douceur, de patience.","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),Colossians 4:12,"Epafra, che è dei vostri e servo di Cristo Gesù, vi saluta. Egli lotta sempre per voi nelle sue preghiere affinché perfetti e pienamente accertati stiate fermi in tutta la volontà di Dio.",Colossians 3:12,"Vestitevi dunque, come eletti di Dio, santi ed amati, di tenera compassione, di benignità, di umiltà, di dolcezza, di longanimità;","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://ebible.org/Scriptures/ita1927_usfx.zip
replacement,Reina-Valera (1909),Colossians 4:12,"Os saluda Epafras, el cual es de vosotros, siervo de Cristo, siempre solícito por vosotros en oraciones, para que estéis firmes, perfectos y cumplidos en todo lo que Dios quiere.",Colossians 3:12,"Vestíos pues, como escogidos de Dios, santos y amados, de entrañas de misericordia, de benignidad, de humildad, de mansedumbre, de tolerancia;","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://ebible.org/Scriptures/spaRV1909_usfx.zip
replacement,Sathyavedapusthakam (1910),Colossians 4:12,നിങ്ങളിൽ ഒരുത്തനായി ക്രിസ്തുയേശുവിന്റെ ദാസനായ എപ്പഫ്രാസ് നിങ്ങളെ വന്ദനം ചെയ്യുന്നു; നിങ്ങൾ തികഞ്ഞവരും ദൈവഹിതം സംബന്ധിച്ചൊക്കെയും പൂൎണ്ണനിശ്ചയമുള്ളവരുമായി നില്ക്കേണ്ടതിന്നു അവൻ പ്രാൎത്ഥനയിൽ നിങ്ങൾക്കു വേണ്ടി എപ്പോഴും പോരാടുന്നു.,Colossians 3:12,"അതുകൊണ്ടു ദൈവത്തിന്റെ വൃതന്മാരും വിശുദ്ധന്മാരും പ്രിയരുമായി മനസ്സലിവു, ദയ, താഴ്മ, സൌമ്യത, ദീൎഘക്ഷമ എന്നിവ ധരിച്ചുകൊണ്ടു","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://api.getbible.net/v2/mal1910.json
replacement,Ang Dating Biblia (1905),Colossians 4:12,"Binabati kayo ni Epafras, na isa sa inyo, na lingkod ni Cristo Jesus, na siyang laging nagsisikap dahil sa inyo sa kaniyang pananalangin, upang kayo'y magsitatag na mga sakdal at lubos na tiwasay sa lahat na kalooban ng Dios.",Colossians 3:12,"Mangagbihis nga kayo gaya ng mga hinirang ng Dios, na mga banal at minamahal, ng isang pusong mahabagin, ng kagandahangloob, ng kababaan, ng kaamuan, ng pagpapahinuhod:","The lengthy personal greeting needs its letter context; this full verse encourages compassion, kindness, humility, gentleness and patience.",https://api.getbible.net/v2/tagalog.json
source-correction,King James Version (KJV),Exodus 15:2,"The LORD is my strength and song, and he is become my salvation: he is my God, and I will prepare him an habitation; my father's God, and I will exalt him.",Exodus 15:2,"The LORD is my strength and song, and he is become my salvation: he is my God, and I will prepare him an habitation; my father’s God, and I will exalt him.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,Berean Standard Bible (BSB),Colossians 3:16,"Let the word of Christ richly dwell within you as you teach and admonish one another with all wisdom, and as you sing psalms, hymns, and spiritual songs with gratitude in your hearts to God.",Colossians 3:14,"And over all these virtues put on love, which is the bond of perfect unity.",Replace a lengthy verse with a full verse about love and unity.,https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Bible in Basic English (BBE),Colossians 3:16,"Let the word of Christ be in you in all wealth of wisdom; teaching and helping one another with songs of praise and holy words, making melody to God with grace in your hearts.",Colossians 3:14,"And more than all, have love; the only way in which you may be completely joined together.",Replace a lengthy verse with a full verse about love and unity.,https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,King James Version (KJV),Colossians 3:16,"Let the word of Christ dwell in you richly in all wisdom; teaching and admonishing one another in psalms and hymns and spiritual songs, singing with grace in your hearts to the Lord.",Colossians 3:14,"And above all these things put on charity, which is the bond of perfectness.",Replace a lengthy verse with a full verse about love and unity.,https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),Colossians 3:16,"Let the word of Christ dwell in you richly; in all wisdom teaching and admonishing one another with psalms, hymns, and spiritual songs, singing with grace in your heart to the Lord.",Colossians 3:14,"Above all these things, walk in love, which is the bond of perfection.",Replace a lengthy verse with a full verse about love and unity.,https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),Colossians 3:16,Lasset das Wort Christi unter euch reichlich wohnen in aller Weisheit; lehret und vermahnet euch selbst mit Psalmen und Lobgesängen und geistlichen lieblichen Liedern und singt dem HERRN in eurem Herzen.,Colossians 3:14,"Über alles aber ziehet an die Liebe, die da ist das Band der Vollkommenheit.",Replace a lengthy verse with a full verse about love and unity.,https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),Colossians 3:16,"Que la parole de Christ habite parmi vous abondamment; instruisez-vous et exhortez-vous les uns les autres en toute sagesse, par des psaumes, par des hymnes, par des cantiques spirituels, chantant à Dieu dans vos cœurs sous l’inspiration de la grâce.",Colossians 3:14,"Mais par-dessus toutes ces choses revêtez-vous de la charité, qui est le lien de la perfection.",Replace a lengthy verse with a full verse about love and unity.,https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),Colossians 3:16,"La parola di Cristo abiti in voi doviziosamente; ammaestrandovi ed ammonendovi gli uni gli altri con ogni sapienza, cantando di cuore a Dio, sotto l’impulso della grazia, salmi, inni, e cantici spirituali.",Colossians 3:14,E sopra tutte queste cose vestitevi della carità che è il vincolo della perfezione.,Replace a lengthy verse with a full verse about love and unity.,https://ebible.org/Scriptures/ita1927_usfx.zip
replacement,Reina-Valera (1909),Colossians 3:16,"La palabra de Cristo habite en vosotros en abundancia en toda sabiduría, enseñándoos y exhortándoos los unos á los otros con salmos é himnos y canciones espirituales, con gracia cantando en vuestros corazones al Señor.",Colossians 3:14,"Y sobre todas estas cosas vestíos de caridad, la cual es el vínculo de la perfección.",Replace a lengthy verse with a full verse about love and unity.,https://ebible.org/Scriptures/spaRV1909_usfx.zip
replacement,Sathyavedapusthakam (1910),Colossians 3:16,സങ്കീൎത്തനങ്ങളാലും സ്തുതികളാലും ആത്മികഗീതങ്ങളാലും തമ്മിൽ പഠിപ്പിച്ചും ബുദ്ധിയുപദേശിച്ചും നന്ദിയോടെ നിങ്ങളുടെ ഹൃദയങ്ങളിൽ ദൈവത്തിന്നു പാടിയും ഇങ്ങനെ ക്രിസ്തുവിന്റെ വചനം ഐശ്വൎയ്യമായി സകലജ്ഞാനത്തോടുംകൂടെ നിങ്ങളിൽ വസിക്കട്ടെ.,Colossians 3:14,എല്ലാറ്റിന്നും മീതെ സമ്പൂൎണ്ണതയുടെ ബന്ധമായ സ്നേഹം ധരിപ്പിൻ.,Replace a lengthy verse with a full verse about love and unity.,https://api.getbible.net/v2/mal1910.json
replacement,Ang Dating Biblia (1905),Colossians 3:16,"Manahanan nawang sagana sa inyo ang salita ni Cristo; ayon sa buong karunungan, kayo'y mangagturuan at mangagpaalalahanan sa isa't isa sa pamamagitan ng mga salmo at ng mga himno at mga awit na ukol sa espiritu, na magsiawit kayong may biyaya sa inyong puso sa Dios.",Colossians 3:14,At sa ibabaw ng lahat ng mga bagay na ito ay mangagbihis kayo ng pagibig na siyang tali ng kasakdalan.,Replace a lengthy verse with a full verse about love and unity.,https://api.getbible.net/v2/tagalog.json
source-correction,Berean Standard Bible (BSB),Numbers 6:26,May the LORD lift up His countenance toward you and give you peace.’,Numbers 6:26,may the LORD lift up His countenance toward you and give you peace.’,"Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Berean Standard Bible (BSB),Joshua 24:15,"But if it is unpleasing in your sight to serve the LORD, then choose for yourselves this day whom you will serve, whether the gods your fathers served beyond the Euphrates, or the gods of the Amorites in whose land you are living. As for me and my house, we will serve the LORD!”",Psalms 31:3,For You are my rock and my fortress; lead me and guide me for the sake of Your name.,"Replace the very long historical choice-of-gods verse with a medium-length, full prayer for God's guidance.",https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Bible in Basic English (BBE),Joshua 24:15,"And if it seems evil to you to be the servants of the Lord, make the decision this day whose servants you will be: of the gods whose servants your fathers were across the River, or of the gods of the Amorites in whose land you are living: but I and my house will be the servants of the Lord.",Psalms 31:3,"For you are my Rock and my strong tower; go in front of me and be my guide, because of your name.","Replace the very long historical choice-of-gods verse with a medium-length, full prayer for God's guidance.",https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,King James Version (KJV),Joshua 24:15,"And if it seem evil unto you to serve the LORD, choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the LORD.",Psalms 31:3,"For thou art my rock and my fortress; therefore for thy name’s sake lead me, and guide me.","Replace the very long historical choice-of-gods verse with a medium-length, full prayer for God's guidance.",https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),Joshua 24:15,"If it seems evil to you to serve the LORD, choose today whom you will serve; whether the gods which your fathers served that were beyond the River, or the gods of the Amorites, in whose land you dwell; but as for me and my house, we will serve the LORD.”",Psalms 31:3,"For you are my rock and my fortress, therefore for your name’s sake lead me and guide me.","Replace the very long historical choice-of-gods verse with a medium-length, full prayer for God's guidance.",https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),Joshua 24:15,"Gefällt es euch aber nicht, daß ihr dem HERRN dient, so erwählt euch heute, wem ihr dienen wollt: den Göttern, denen eure Väter gedient haben jenseit des Stroms, oder den Göttern der Amoriter, in deren Land ihr wohnt. Ich aber und mein Haus wollen dem HERRN dienen.",Psalms 31:4,"Denn du bist mein Fels und meine Burg, und um deines Namens willen wolltest du mich leiten und führen.","Replace the very long historical choice-of-gods verse with a medium-length, full prayer for God's guidance.",https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),Joshua 24:15,"Et si vous ne trouvez pas bon de servir l’Éternel, choisissez aujourd’hui qui vous voulez servir, ou les dieux que servaient vos pères au-delà du fleuve, ou les dieux des Amoréens dans le pays desquels vous habitez. Moi et ma maison, nous servirons l’Éternel.",Psalms 31:4,"Car tu es mon rocher, ma forteresse; Et à cause de ton nom tu me conduiras, tu me dirigeras.","Replace the very long historical choice-of-gods verse with a medium-length, full prayer for God's guidance.",https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),Joshua 24:15,"E se vi par mal fatto servire all’Eterno, scegliete oggi a chi volete servire: o agli dèi ai quali i vostri padri servirono di là dal fiume, o agli dèi degli Amorei, nel paese de’ quali abitate; quanto a me e alla casa mia, serviremo all’Eterno”.",Psalms 31:3,Poiché tu sei la mia ròcca e la mia fortezza; per amor del tuo nome guidami e conducimi.,"Replace the very long historical choice-of-gods verse with a medium-length, full prayer for God's guidance.",https://ebible.org/Scriptures/ita1927_usfx.zip
